id,question,answer,explanation,category,tags,source,note
2704b-01-1,温度及び圧力について、誤っているものは次のうちどれか。選択肢1: セルシウス(摂氏)温度は、標準大気圧の下で、水の氷点を0℃、沸点を100℃と定め、この間を100等分したものを1℃としたものである。,×,元問題の正答選択肢は（4）です。選択肢1の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問1,確認済み
2704b-01-2,温度及び圧力について、誤っているものは次のうちどれか。選択肢2: セルシウス(摂氏)温度t［℃］と絶対温度T［K ］との間にはT＝t＋273の関係がある。,×,元問題の正答選択肢は（4）です。選択肢2の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問1,確認済み
2704b-01-3,温度及び圧力について、誤っているものは次のうちどれか。選択肢3: 760mmの高さの水銀柱がその底面に及ぼす圧力を標準大気圧といい、1013hPaに相当する。,×,元問題の正答選択肢は（4）です。選択肢3の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問1,確認済み
2704b-01-4,温度及び圧力について、誤っているものは次のうちどれか。選択肢4: 圧力計に表れる圧力を絶対圧力といい、その値に大気圧を加えたものをゲージ圧力という。,○,元問題の正答選択肢は（4）です。選択肢4の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問1,確認済み
2704b-01-5,温度及び圧力について、誤っているものは次のうちどれか。選択肢5: 蒸気の重要な諸性質を表示した蒸気表中の圧力は、一般に絶対圧力で示される。,×,元問題の正答選択肢は（4）です。選択肢5の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問1,確認済み
2704b-02-1,ボイラーの燃焼室、伝熱面及び燃焼装置について、誤っているものは次のうちどれか。選択肢1: 燃焼室は、燃料を燃焼し熱を発生する部分で、火炉ともいわれる。,×,元問題の正答選択肢は（4）です。選択肢1の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問2,確認済み
2704b-02-2,ボイラーの燃焼室、伝熱面及び燃焼装置について、誤っているものは次のうちどれか。選択肢2: 燃焼装置は、燃料の種類によって異なり、液体燃料、気体燃料及び微粉炭にはバーナが、一般固体燃料には火格子などが用いられる。,×,元問題の正答選択肢は（4）です。選択肢2の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問2,確認済み
2704b-02-3,ボイラーの燃焼室、伝熱面及び燃焼装置について、誤っているものは次のうちどれか。選択肢3: 燃焼室は、供給された燃料を速やかに着火、燃焼させ、発生する可燃ガスと空気との混合接触を良好にして完全燃焼を行わせる部分である。,×,元問題の正答選択肢は（4）です。選択肢3の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問2,確認済み
2704b-02-4,ボイラーの燃焼室、伝熱面及び燃焼装置について、誤っているものは次のうちどれか。選択肢4: 燃焼室は、加圧燃焼方式の場合は開放構造になっている。,○,元問題の正答選択肢は（4）です。選択肢4の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問2,確認済み
2704b-02-5,ボイラーの燃焼室、伝熱面及び燃焼装置について、誤っているものは次のうちどれか。選択肢5: 高温ガス通路に配置され、主として高温ガスとの接触によって受けた熱を水や蒸気に伝える伝熱面は、接触伝熱面といわれる。,×,元問題の正答選択肢は（4）です。選択肢5の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問2,確認済み
2704b-03-1,ボイラーの給水系統装置について、誤っているものは次のうちどれか。選択肢1: ディフューザポンプは、羽根車の周辺に案内羽根のある遠心ポンプで、高圧のボイラーには多段ディフューザポンプが用いられる。,×,元問題の正答選択肢は（4）です。選択肢1の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問3,確認済み
2704b-03-2,ボイラーの給水系統装置について、誤っているものは次のうちどれか。選択肢2: 渦巻ポンプは、羽根車の周辺に案内羽根のない遠心ポンプで、一般に低圧のボイラーに用いられる。,×,元問題の正答選択肢は（4）です。選択肢2の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問3,確認済み
2704b-03-3,ボイラーの給水系統装置について、誤っているものは次のうちどれか。選択肢3: インゼクタは、蒸気の噴射力を利用して給水するものである。,×,元問題の正答選択肢は（4）です。選択肢3の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問3,確認済み
2704b-03-4,ボイラーの給水系統装置について、誤っているものは次のうちどれか。選択肢4: 給水逆止め弁には、アングル弁又は玉形弁が用いられる。,○,元問題の正答選択肢は（4）です。選択肢4の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問3,確認済み
2704b-03-5,ボイラーの給水系統装置について、誤っているものは次のうちどれか。選択肢5: 給水内管は、一般に長い鋼管に多数の穴を設けたもので、胴又は蒸気ドラム内の安全低水面よりやや下方に取り付ける。,×,元問題の正答選択肢は（4）です。選択肢5の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問3,確認済み
2704b-04-1,水管ボイラーについて、誤っているものは次のうちどれか。選択肢1: 自然循環式水管ボイラーは、高圧になるほど蒸気と水との密度差が大きくなり、ボイラー水の循環力が強くなる。,○,元問題の正答選択肢は（1）です。選択肢1の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問4,確認済み
2704b-04-2,水管ボイラーについて、誤っているものは次のうちどれか。選択肢2: 強制循環式水管ボイラーでは、ボイラー水の循環系路中に設けたポンプによって、強制的にボイラー水の循環を行わせる。,×,元問題の正答選択肢は（1）です。選択肢2の正誤を確認しましょう。,ボイラーの構造に関する知識,平成27年4月,平成27年4月 問4,確認済み
